"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",1,"Ana Richa",2066-12-03,37.2648871,69,"Brazil","Vanilda Leao",1977-02-12,27.0691307,69,"Brazil","Q19","Angela Lavalle",1981-04-24,22.8747433,69,"Brazil","Monica Paludo",1973-10-19,30.3874059,69,"Brazil",,"18-21, 22-20, 15-9","0:59","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",2,"Juliana Felisberta",1983-07-22,20.6324435,70,"Brazil","Larissa Franca",1982-04-14,21.9028063,69,"Brazil","28, Q13","Izabel Amaral",1974-06-17,29.7275838,69,"Brazil","Luiza Amelia Ramos",1974-02-14,30.0643395,67,"Brazil",,"14-21, 21-13, 15-12","0:58","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",3,"Talita Antunes",1982-08-29,21.5277207,71,"Brazil","Tatiana Minello",1970-03-01,34.0232717,66,"Brazil","27, Q4","Carolina Salgado",1987-08-06,16.5913758,70,"Brazil","Maria Clara Salgado",1983-05-06,20.843258,69,"Brazil",,"21-19, 21-17","0:43","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",4,"Ana Richa",2066-12-03,37.2648871,69,"Brazil","Vanilda Leao",1977-02-12,27.0691307,69,"Brazil","Q19","Alexandra Fonseca",1970-10-07,33.4209446,67,"Brazil","Monica Rodrigues",2067-09-20,36.4681725,71,"Brazil",,"21-19, 21-12","0:41","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",5,"Juliana Felisberta",1983-07-22,20.6324435,70,"Brazil","Larissa Franca",1982-04-14,21.9028063,69,"Brazil","28, Q13","Talita Antunes",1982-08-29,21.5277207,71,"Brazil","Tatiana Minello",1970-03-01,34.0232717,66,"Brazil","27, Q4","21-19, 14-21, 15-11","1:00","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",6,"Talita Antunes",1982-08-29,21.5277207,71,"Brazil","Tatiana Minello",1970-03-01,34.0232717,66,"Brazil","27, Q4","Alexandra Fonseca",1970-10-07,33.4209446,67,"Brazil","Monica Rodrigues",2067-09-20,36.4681725,71,"Brazil",,"21-19, 21-19","1:06","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",7,"Carrie Dodd",1974-05-19,29.8069815,72,"United States","Nancy Reynolds",1970-11-24,33.2895277,69,"United States","16, Q1","Gracie Santana-Baeni",1970-09-01,33.5195072,71,"Switzerland","Paula Roca",1971-07-17,32.6461328,71,"United States",,"21-14, 21-19","0:42","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",8,"Barbra Fontana",2065-09-08,38.4996578,66,"United States","Jennifer Kessy",1977-07-31,26.6064339,72,"United States",,"Ashley Bowles",1980-06-03,23.7645448,72,"United States","Rachel Scott",1975-06-15,28.733744,68,"United States",,"19-21, 21-17, 15-9","0:56","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",9,"Carrie Dodd",1974-05-19,29.8069815,72,"United States","Nancy Reynolds",1970-11-24,33.2895277,69,"United States","16, Q1","Barbra Fontana",2065-09-08,38.4996578,66,"United States","Jennifer Kessy",1977-07-31,26.6064339,72,"United States",,"22-20, 21-17","0:45","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Fortaleza","Brazil",2004,2004-03-09,"W",2,"Emilia Nystrom",1983-09-13,20.4873374,70,"Finland","Erika Nystrom",1983-09-13,20.4873374,70,"Finland","Q16","Inga Ikauniece",1979-05-23,24.7967146,,"Latvia","Inguna Minusa",1977-08-17,26.5598905,69,"Latvia","Q17","14-21, 21-12, 16-14","0:43","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
